0	490	26

1	333	16

2	478	39

3	445	17

4	259	128

5	457	103

6	71	236

7	420	77

8	234	96

9	154	94

10	326	115

11	460	196

12	151	22

13	46	195

14	39	75

15	112	162

16	376	241

17	115	98

18	186	68

19	99	47

20	23	24

21	185	166

22	185	64

23	27	248

24	235	21

25	160	49

26	158	153

27	227	224

28	305	74

29	251	227

30	131	244

31	331	170

32	217	200

33	59	75

34	167	89

35	210	57

36	508	99

37	442	240

38	65	186

39	77	172

40	382	45

41	353	148

42	381	96

43	194	92

44	111	90

45	278	236

46	178	119

47	183	105

48	475	84

49	213	91

50	460	109

51	134	239

52	50	179

53	110	47

54	20	56

55	297	38

56	217	139

57	411	190

58	331	164

59	270	138

60	114	124

61	407	104

62	25	151

63	220	34

64	66	175

65	245	164

66	290	162

67	318	159

68	429	244

69	93	151

70	493	22

71	167	145

72	258	23

73	64	178

74	160	86

75	129	68

76	331	70

77	104	81

78	247	253

79	126	41

80	319	234

81	223	207

82	245	72

83	47	252

84	328	123

85	33	130

86	186	219

87	56	71

88	320	133

89	189	253

90	353	218

91	248	118

92	468	223

93	502	72

94	81	30

95	157	27

96	137	125

97	27	105

98	118	243

99	288	19

100	309	192

101	106	172

102	249	220

103	497	67

104	439	234

105	50	198

106	370	85

107	97	116

108	250	212

109	65	180

110	446	37

111	225	55

112	206	24

113	373	92

114	343	108

115	204	121

116	493	220

117	472	86

118	171	205

119	94	104

120	431	23

121	119	209

122	398	91

123	421	56

124	382	152

125	290	109

126	141	204

127	111	23

128	387	214

129	492	231

130	85	228

131	241	217

132	331	193

133	343	55

134	237	20

135	501	188

136	76	28

137	68	40

138	238	180

139	185	234

140	154	183

141	137	65

142	98	254

143	279	133

144	206	207

145	396	191

146	407	146

147	379	216

148	491	239

149	159	250

150	147	220

151	118	245

152	413	165

153	349	133

154	314	230

155	98	23

156	132	57

157	487	41

158	324	168

159	353	206

